,Latitude,Longitude,Altitude
0,0.0000000000,0.0000000000,0
1,0.0000000000,0.0000000000,0
2,45.7870025635,-73.9834747314,-625
3,45.7870025635,-73.9834747314,-625
4,45.7870025635,-73.9834747314,-625
5,45.7870025635,-73.9834747314,-625
6,45.7870025635,-73.9834747314,-625
7,45.7870025635,-73.9834747314,-625
8,45.7870025635,-73.9834747314,-625
9,45.7870025635,-73.9834747314,-625
10,45.7870903015,-73.9833068848,-750
11,45.7870903015,-73.9833068848,-750
12,45.7870903015,-73.9833068848,-750
13,45.7870903015,-73.9833068848,-750
14,45.7870903015,-73.9833068848,-750
15,45.7870445251,-73.9833679199,-750
16,45.7870445251,-73.9833526611,-750
17,45.7870445251,-73.9833526611,-750
18,45.7870445251,-73.9833526611,-750
19,45.7869377136,-73.9834365845,-775
20,45.7869377136,-73.9834365845,-775
21,45.7870445251,-73.9833297729,-750
22,45.7869796753,-73.9833679199,-750
23,45.7869796753,-73.9833679199,-750
24,45.7869796753,-73.9833679199,-750
25,45.7869796753,-73.9833908081,-750
26,45.7869796753,-73.9833908081,-750
27,45.7869796753,-73.9833908081,-750
28,45.7869796753,-73.9834136963,-750
29,45.7869796753,-73.9834136963,-750
30,45.7869796753,-73.9834136963,-750
31,45.7869606018,-73.9834136963,-725
32,45.7869377136,-73.9834365845,-725
33,45.7869377136,-73.9834365845,-725
34,45.7869377136,-73.9834365845,-725
35,45.7869186401,-73.9834594727,-725
36,45.7869186401,-73.9834594727,-725
37,45.7869186401,-73.9834594727,-725
38,45.7869377136,-73.9834365845,-725
39,45.7869377136,-73.9834365845,-725
40,45.7869377136,-73.9834365845,-725
41,45.7869796753,-73.9833908081,-700
42,45.7869796753,-73.9833908081,-700
43,45.7869796753,-73.9833908081,-700
44,45.7869796753,-73.9833908081,-700
45,45.7869377136,-73.9834136963,-700
46,45.7869377136,-73.9834136963,-700
47,45.7869377136,-73.9834136963,-700
48,45.7869377136,-73.9834365845,-700
49,45.7869377136,-73.9834365845,-700
50,45.7869377136,-73.9834365845,-700
51,45.7869377136,-73.9834365845,-700
52,45.7869377136,-73.9834365845,-700
53,45.7869377136,-73.9834365845,-700
54,45.7869377136,-73.9834365845,-700
55,45.7869186401,-73.9834594727,-700
56,45.7869186401,-73.9834594727,-700
57,45.7869186401,-73.9834365845,-675
58,45.7869186401,-73.9834365845,-675
59,45.7869186401,-73.9834365845,-675
60,45.7869186401,-73.9834365845,-675
61,45.7869606018,-73.9834136963,-675
62,45.7869606018,-73.9834136963,-675
63,45.7869606018,-73.9834136963,-675
64,45.7869186401,-73.9834365845,-675
65,45.7869186401,-73.9834365845,-675
66,45.7869186401,-73.9834365845,-675
67,45.7869186401,-73.9834365845,-675
68,45.7869186401,-73.9834365845,-675
69,45.7869186401,-73.9834365845,-675
70,45.7869377136,-73.9834365845,-675
71,45.7869377136,-73.9834365845,-675
72,45.7869377136,-73.9834365845,-675
73,45.7869377136,-73.9834365845,-675
74,45.7869186401,-73.9834594727,-675
75,45.7869186401,-73.9834594727,-675
76,45.7869377136,-73.9834365845,-675
77,45.7869377136,-73.9834365845,-675
78,45.7869377136,-73.9834365845,-675
79,45.7869377136,-73.9834365845,-675
80,45.7869377136,-73.9834365845,-675
81,45.7869377136,-73.9834365845,-675
82,45.7869377136,-73.9834365845,-675
83,45.7868957520,-73.9834365845,-675
84,45.7868957520,-73.9834365845,-675
85,45.7868957520,-73.9834365845,-675
86,45.7869186401,-73.9834365845,-675
87,45.7869186401,-73.9834365845,-675
88,45.7869186401,-73.9834365845,-675
89,45.7869186401,-73.9834365845,-675
90,45.7869796753,-73.9834976196,-650
91,45.7869796753,-73.9834976196,-650
92,45.7869796753,-73.9834976196,-650
93,45.7870025635,-73.9834976196,-650
94,45.7870025635,-73.9834976196,-650
95,45.7870025635,-73.9834976196,-650
96,45.7870025635,-73.9835205078,-650
97,45.7870025635,-73.9835205078,-650
98,45.7870025635,-73.9835205078,-650
99,45.7869796753,-73.9834976196,-650
100,45.7869796753,-73.9834976196,-650
101,45.7869796753,-73.9834976196,-650
102,45.7869796753,-73.9834976196,-650
103,45.7870254517,-73.9834976196,-625
104,45.7870254517,-73.9834976196,-625
105,45.7870025635,-73.9834976196,-625
106,45.7870025635,-73.9834976196,-625
107,45.7870025635,-73.9834976196,-625
108,45.7870025635,-73.9834976196,-625
109,45.7869796753,-73.9834976196,-625
110,45.7869796753,-73.9834976196,-625
111,45.7869796753,-73.9834976196,-625
112,45.7869377136,-73.9835205078,-625
113,45.7869377136,-73.9835205078,-625
114,45.7869377136,-73.9835205078,-625
115,45.7869796753,-73.9834976196,-625
116,45.7869796753,-73.9834976196,-625
117,45.7869796753,-73.9834976196,-625
118,45.7869377136,-73.9834976196,-625
119,45.7869377136,-73.9834976196,-625
120,45.7869377136,-73.9834976196,-625
121,45.7869377136,-73.9834976196,-625
122,45.7869796753,-73.9834976196,-625
123,45.7869796753,-73.9834976196,-625
124,45.7869796753,-73.9834976196,-625
125,45.7869796753,-73.9834976196,-625
126,45.7869796753,-73.9834976196,-625
127,45.7869796753,-73.9834976196,-625
128,45.7869606018,-73.9834976196,-600
129,45.7869377136,-73.9835205078,-600
130,45.7869377136,-73.9835205078,-600
131,45.7869606018,-73.9834976196,-600
132,45.7869606018,-73.9834976196,-600
133,45.7869606018,-73.9834976196,-600
134,45.7869377136,-73.9834976196,-600
135,45.7869377136,-73.9834976196,-600
136,45.7869377136,-73.9834976196,-600
137,45.7869377136,-73.9834976196,-600
138,45.7870445251,-73.9834747314,-600
139,45.7870445251,-73.9834747314,-600
140,45.7870025635,-73.9834976196,-600
141,45.7870025635,-73.9834976196,-600
142,45.7870025635,-73.9834976196,-600
143,45.7870025635,-73.9834976196,-600
144,45.7870025635,-73.9834976196,-600
145,45.7870025635,-73.9834976196,-600
146,45.7870025635,-73.9834976196,-600
147,45.7870025635,-73.9834976196,-600
148,45.7869796753,-73.9834976196,-625
149,45.7869796753,-73.9834976196,-625
150,45.7869606018,-73.9835205078,-625
151,45.7869606018,-73.9835205078,-625
152,45.7869606018,-73.9835205078,-625
153,45.7869186401,-73.9835205078,-625
154,45.7869186401,-73.9835205078,-625
155,45.7869186401,-73.9835205078,-625
156,45.7869186401,-73.9835205078,-625
157,45.7870445251,-73.9834136963,-625
158,45.7870445251,-73.9834136963,-625
159,45.7869796753,-73.9834594727,-625
160,45.7869796753,-73.9834365845,-625
161,45.7869796753,-73.9834365845,-625
162,45.7869796753,-73.9834365845,-625
163,45.7869796753,-73.9834365845,-625
164,45.7869796753,-73.9834365845,-625
165,45.7869796753,-73.9834365845,-625
166,45.7869796753,-73.9834365845,-625
167,45.7869796753,-73.9834365845,-625
168,45.7869796753,-73.9834365845,-625
169,45.7869796753,-73.9834365845,-625
170,45.7869796753,-73.9834365845,-625
171,45.7869796753,-73.9834365845,-625
172,45.7869796753,-73.9834365845,-625
173,45.7869796753,-73.9834365845,-625
174,45.7869796753,-73.9834365845,-625
175,45.7869796753,-73.9834365845,-625
176,45.7869796753,-73.9834365845,-625
177,45.7869796753,-73.9834365845,-625
178,45.7869796753,-73.9834365845,-625
179,45.7869796753,-73.9834365845,-625
180,45.7869796753,-73.9834365845,-625
181,45.7869796753,-73.9834365845,-625
182,45.7869796753,-73.9834365845,-625
183,45.7869796753,-73.9834365845,-625
184,45.7869796753,-73.9834365845,-625
185,45.7869796753,-73.9834365845,-625
186,45.7869796753,-73.9834365845,-625
187,45.7869796753,-73.9834365845,-625
